Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",189.230000,-59.318000,270.000000,top
"C2","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",181.864000,-55.372000,90.000000,top
"C3","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",181.800500,-58.547000,180.000000,top
"C4","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",188.341000,-55.499000,90.000000,top
"C5","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",182.626000,-61.586000,270.000000,top
"C6","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.421000,-84.582000,180.000000,top
"C7","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.421000,-73.363666,180.000000,top
"C8","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.421000,-62.145333,180.000000,top
"C9","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.421000,-50.927000,180.000000,top
"C10","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.303000,-90.932000,180.000000,top
"C11","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.303000,-79.713666,180.000000,top
"C12","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.303000,-68.495333,180.000000,top
"C13","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.303000,-57.277000,180.000000,top
"C14","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",181.102000,-76.454000,180.000000,top
"C15","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",181.093000,-78.613000,180.000000,top
"C16","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",186.436000,-91.694000,180.000000,top
"C17","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",181.093000,-80.772000,180.000000,top
"C18","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",192.523000,-80.137000,180.000000,top
