"Comment","Designator","Footprint","LCSC Part #"
"0.1uF","C14,C1,C2","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C49678"
"1uF","C15,C6,C10","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C28323"
"10uF","C17,C16,C18,C7,C11,C8,C12,C9,C13,C3,C5,C4,C19","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C15850"
"Blue","D1","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2293"
"White","D2","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C34499"
"Ferrite_Bead_Small","FB1,FB2,FB3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1017"
"82K","R3,R6","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17840"
"220K","R4,R5","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17556"
"0","R11,R13,R12,R14,R10,R9,R8,R7,R29","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17477"
"10K","R23,R24,R18,R17,R16,R15,R19,R20,R21,R22","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17414"
"100","R25,R26","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17408"
"4.7K","R27,R28","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17673"
"LM27762","U1","WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65_ThermalVias","C134018"
"TL072","U2","SO-8_3.9x4.9mm_P1.27mm","C6961"
